wavenumber,absorbance
2904.67224,0.11622
2903.70788,0.116
2902.74351,0.11582
2901.77914,0.11568
2900.81478,0.11559
2899.85041,0.11553
2898.88604,0.11546
2897.92168,0.11534
2896.95731,0.11523
2895.99294,0.11518
2895.02858,0.11515
2894.06421,0.1151
2893.09984,0.11502
2892.13548,0.1149
2891.17111,0.11478
2890.20674,0.11471
2889.24238,0.11468
2888.27801,0.11462
2887.31364,0.11455
2886.34928,0.11452
2885.38491,0.11452
2884.42054,0.11449
2883.45618,0.11444
2882.49181,0.11446
2881.52745,0.11458
2880.56308,0.11463
2879.59871,0.11451
2878.63435,0.11431
2877.66998,0.11419
2876.70561,0.1142
2875.74125,0.11427
2874.77688,0.11431
2873.81251,0.11434
2872.84815,0.11434
2871.88378,0.11432
2870.91941,0.1143
2869.95505,0.11433
2868.99068,0.11442
2868.02631,0.11449
2867.06195,0.11447
2866.09758,0.11442
2865.13321,0.11443
2864.16885,0.11453
2863.20448,0.1146
2862.24011,0.11454
2861.27575,0.11442
2860.31138,0.11438
2859.34701,0.11447
2858.38265,0.11462
2857.41828,0.11478
2856.45391,0.11491
2855.48955,0.11504
2854.52518,0.11519
2853.56081,0.11538
2852.59645,0.11555
2851.63208,0.11558
2850.66771,0.11554
2849.70335,0.11559
2848.73898,0.11576
2847.77461,0.11593
2846.81025,0.11598
2845.84588,0.11593
2844.88151,0.1159
2843.91715,0.11592
2842.95278,0.11592
2841.98841,0.11591
2841.02405,0.11593
2840.05968,0.11599
2839.09531,0.11599
2838.13095,0.11596
2837.16658,0.11593
2836.20221,0.11585
2835.23785,0.11568
2834.27348,0.11553
2833.30911,0.11551
2832.34475,0.11558
2831.38038,0.11562
2830.41601,0.11559
2829.45165,0.11555
2828.48728,0.11555
2827.52291,0.11557
2826.55855,0.11559
2825.59418,0.11564
2824.62981,0.11574
2823.66545,0.11586
2822.70108,0.11593
2821.73671,0.11589
2820.77235,0.11581
2819.80798,0.11579
2818.84362,0.11582
2817.87925,0.11585
2816.91488,0.1158
2815.95052,0.11575
2814.98615,0.11575
2814.02178,0.1158
2813.05742,0.11583
2812.09305,0.1158
2811.12868,0.11573
2810.16432,0.11569
2809.19995,0.11571
2808.23558,0.11575
2807.27122,0.11579
2806.30685,0.11583
2805.34248,0.11587
2804.37812,0.11589
2803.41375,0.1159
2802.44938,0.11583
2801.48502,0.11568
2800.52065,0.11557
2799.55628,0.11557
2798.59192,0.11564
2797.62755,0.11569
2796.66318,0.11566
2795.69882,0.11562
2794.73445,0.11566
2793.77008,0.11571
2792.80572,0.11563
2791.84135,0.11541
2790.87698,0.1152
2789.91262,0.11511
2788.94825,0.11511
2787.98388,0.11514
2787.01952,0.11518
2786.05515,0.11521
2785.09078,0.11522
2784.12642,0.11518
2783.16205,0.11512
2782.19768,0.11503
2781.23332,0.11486
2780.26895,0.11463
2779.30458,0.11446
2778.34022,0.11443
2777.37585,0.11443
2776.41148,0.11434
2775.44712,0.11425
2774.48275,0.11424
